#{"t_start": 1732811639.8356025, "env_id": "InvertedDoublePendulum-v4"}
r,l,t
63.558337,7,1.353289
92.219787,10,1.478227
44.752604,5,1.480077
73.294423,8,1.488139
73.562351,8,1.490705
82.736619,9,1.50119
54.370691,6,1.503193
73.505311,8,1.510952
45.099186,5,1.512738
73.181987,8,1.521303
36.130837,4,1.52278
63.846395,7,1.5292
54.447101,6,1.53115
82.39209,9,1.541534
73.550612,8,1.544069
73.2224,8,1.552614
73.350578,8,1.55532
82.807085,9,1.565729
82.473052,9,1.568612
64.116802,7,1.576271
36.160576,4,1.577787
64.205235,7,1.585891
36.066619,4,1.58742
73.41119,8,1.596949
54.535702,6,1.599039
63.87186,7,1.607313
72.845968,8,1.610069
64.047382,7,1.61851
45.35415,5,1.620284
73.346196,8,1.628203
45.11972,5,1.629914
63.916132,7,1.638149
63.752834,7,1.831748
82.694701,9,1.838593
119.693946,13,1.936087
54.558857,6,1.941427
54.488133,6,1.988177
54.556151,6,1.993243
54.722875,6,2.039215
54.747051,6,2.044105
64.130818,7,2.095977
72.079104,8,2.102627
63.405218,7,2.155536
63.468684,7,2.161084
63.484725,7,2.21426
54.698802,6,2.219323
54.602079,6,2.263683
54.340164,6,2.268524
45.289458,5,2.306669
35.605636,4,2.310167
35.133966,4,2.339722
35.197385,4,2.342899
26.934306,3,2.364496
35.269976,4,2.367728
26.861067,3,2.389959
26.850758,3,2.392539
35.19058,4,2.421218
35.299867,4,2.424619
26.907175,3,2.446553
26.915747,3,2.449416
26.900065,3,2.471848
35.257065,4,2.475039
35.102852,4,2.505961
26.914847,3,2.508586
35.245322,4,2.537801
35.194904,4,2.541402
26.909223,3,2.562644
26.863008,3,2.565148
35.171948,4,2.594031
35.277158,4,2.597553
35.207642,4,2.626241
26.822724,3,2.628989
26.935718,3,2.650824
35.153169,4,2.654177
35.244462,4,2.682881
35.149235,4,2.686362
35.212052,4,2.714479
35.200402,4,2.717667
26.898581,3,2.739556
26.933697,3,2.742663
26.95169,3,2.764729
35.320858,4,2.767979
35.124334,4,2.797376
35.124657,4,2.800571
26.875647,3,2.823874
26.891872,3,2.826555
26.907612,3,2.848009
26.904226,3,2.850674
35.242363,4,2.879485
35.3027,4,2.882727
35.183087,4,2.910753
35.359701,4,2.913895
26.915967,3,2.935486
35.27626,4,2.938808
35.304621,4,2.968062
26.767839,3,2.970705
35.162634,4,2.999267
35.178595,4,3.002578
26.858911,3,3.023986
26.73309,3,3.026541
35.205035,4,3.054765
26.951787,3,3.057496
26.930833,3,3.079439
35.123727,4,3.08262
35.16076,4,3.11156
26.933029,3,3.114161
26.828912,3,3.135636
35.222341,4,3.139243
26.894449,3,3.162252
26.915526,3,3.164841
26.92538,3,3.186845
26.746811,3,3.189692
26.874088,3,3.212349
26.896317,3,3.214984
35.285468,4,3.244482
35.289708,4,3.248279
35.199656,4,3.27689
26.907246,3,3.279428
35.162016,4,3.30924
35.352994,4,3.312389
35.259263,4,3.34165
35.306537,4,3.34504
26.930161,3,3.36678
35.167731,4,3.370076
26.954851,3,3.392588
35.331223,4,3.396033
35.284019,4,3.424916
35.236932,4,3.428504
35.166501,4,3.459748
35.192895,4,3.463017
26.922551,3,3.486403
35.262497,4,3.490089
35.134085,4,3.518732
35.162568,4,3.522398
26.887359,3,3.543657
26.883909,3,3.546141
35.108136,4,3.575114
26.775898,3,3.577827
35.29458,4,3.60722
35.116037,4,3.610547
35.167803,4,3.639079
35.137399,4,3.642276
35.25479,4,3.673873
35.340756,4,3.677189
26.966216,3,3.699613
26.849151,3,3.70208
26.928195,3,3.723396
26.973608,3,3.725869
26.903411,3,3.747311
35.248069,4,3.750875
26.896459,3,3.773062
35.284154,4,3.77646
26.926318,3,3.798534
26.969325,3,3.801332
35.265638,4,3.831278
35.320369,4,3.83443
26.910187,3,3.856519
35.196609,4,3.859671
35.194789,4,3.888897
35.21921,4,3.892106
35.288017,4,3.921228
26.944005,3,3.923746
26.75509,3,3.946594
26.892612,3,3.949298
26.864016,3,3.972495
26.849323,3,3.975198
26.814812,3,3.999323
26.840196,3,4.001903
35.220911,4,4.035033
35.242192,4,4.038217
35.150857,4,4.066547
35.33579,4,4.069868
26.914453,3,4.091816
35.313984,4,4.095026
26.996147,3,4.116487
26.922103,3,4.119134
26.820678,3,4.141157
26.920756,3,4.143695
26.893861,3,4.165439
26.871477,3,4.168
26.855038,3,4.191205
35.266038,4,4.194551
35.143254,4,4.223418
26.90012,3,4.226181
35.28461,4,4.25624
26.805644,3,4.258899
26.879366,3,4.280427
35.330214,4,4.283709
35.108238,4,4.313941
35.356394,4,4.317216
26.964242,3,4.339887
26.821142,3,4.342377
35.321531,4,4.372422
35.154501,4,4.375692
35.257157,4,4.404435
26.935561,3,4.407334
26.829163,3,4.428444
35.335751,4,4.43157
26.926751,3,4.452852
26.930491,3,4.455836
35.156398,4,4.485324
26.877211,3,4.487987
35.238299,4,4.516535
35.298165,4,4.51984
26.939775,3,4.542034
35.156796,4,4.545449
35.326896,4,4.574792
35.304887,4,4.578279
26.942966,3,4.600633
26.823541,3,4.603203
35.143121,4,4.631893
35.155337,4,4.635162
35.298266,4,4.664137
26.856955,3,4.666724
35.270903,4,4.69591
26.943637,3,4.69859
26.978205,3,4.720456
26.76012,3,4.723144
35.327288,4,4.750969
35.280793,4,4.754275
26.79283,3,4.775292
35.314684,4,4.778435
35.14065,4,4.807032
35.239788,4,4.810488
26.822873,3,4.832445
26.971147,3,4.834985
26.876229,3,4.85671
35.185001,4,4.859988
35.118168,4,4.889025
35.139897,4,4.892521
26.793766,3,4.91478
26.915662,3,4.917415
35.248629,4,4.946476
26.892982,3,4.949048
26.945496,3,4.970775
26.932563,3,4.97337
35.354636,4,5.002513
26.928453,3,5.0053
35.181152,4,5.03384
26.96915,3,5.036376
26.896197,3,5.058631
26.845068,3,5.061093
26.800372,3,5.08268
35.269123,4,5.086117
35.149917,4,5.115855
35.187698,4,5.119223
26.931741,3,5.140455
26.943209,3,5.142959
35.321673,4,5.173186
26.857717,3,5.175746
26.967088,3,5.200509
26.964209,3,5.203192
26.851525,3,5.226213
26.833635,3,5.228805
35.254228,4,5.258699
26.938046,3,5.261213
35.296295,4,5.291488
26.94821,3,5.294208
26.97773,3,5.318156
26.951185,3,5.320944
35.386086,4,5.351443
35.322186,4,5.354859
35.266274,4,5.3831
26.920247,3,5.385892
26.867935,3,5.407441
35.238053,4,5.410619
35.220682,4,5.439449
35.184723,4,5.442995
26.945541,3,5.465078
35.366261,4,5.468345
26.872186,3,5.490891
26.914182,3,5.493567
26.857398,3,5.515218
26.862276,3,5.517963
35.228699,4,5.547649
35.205467,4,5.551109
35.202376,4,5.580745
26.944292,3,5.583344
35.219112,4,5.612146
35.292823,4,5.615577
35.202813,4,5.645593
26.821361,3,5.648269
26.739785,3,5.670352
26.911463,3,5.673028
26.891895,3,5.696089
26.837969,3,5.698898
26.776045,3,5.729942
26.921353,3,5.732356
35.251392,4,5.762069
26.874869,3,5.764721
26.937994,3,5.787156
26.878222,3,5.789902
35.340366,4,5.818108
35.297866,4,5.821542
26.794647,3,5.843757
26.822692,3,5.846263
26.822159,3,5.868186
35.32123,4,5.87141
35.221847,4,5.899693
35.162785,4,5.903146
35.140239,4,5.932472
35.37312,4,5.935967
35.328173,4,5.965101
35.297725,4,5.968383
35.191684,4,5.997491
35.131899,4,6.000978
26.89426,3,6.023022
35.149743,4,6.026183
35.187875,4,6.054205
35.41415,4,6.057753
26.915383,3,6.080014
26.928977,3,6.082742
26.873488,3,6.104585
35.252075,4,6.107798
